100	0	525200000	134050000	0
100	1	525205000	134060000	0
101	0	525205000	134060000	0
101	1	525210000	134070000	0
102	0	525210000	134070000	0
102	1	525215000	134080000	0
103	0	525215000	134080000	0
103	1	525220000	134090000	0
104	0	525220000	134090000	0
104	1	525225000	134100000	0
105	0	525225000	134100000	0
105	1	525230000	134110000	0
106	0	525230000	134110000	0
106	1	525235000	134120000	0
107	0	525235000	134120000	0
107	1	525240000	134130000	0
108	0	525240000	134130000	0
108	1	525245000	134140000	0
109	0	525245000	134140000	0
109	1	525250000	134150000	0
110	0	525250000	134150000	0
110	1	525255000	134160000	0
111	0	525255000	134160000	0
111	1	525260000	134170000	0
112	0	525260000	134170000	0
112	1	525265000	134180000	0
113	0	525265000	134180000	0
113	1	525270000	134190000	0
